team_id,Team
1,New Jersey Devils
4,Philadelphia Flyers
26,Los Angeles Kings
14,Tampa Bay Lightning
6,Boston Bruins
3,New York Rangers
5,Pittsburgh Penguins
17,Detroit Red Wings
28,San Jose Sharks
18,Nashville Predators
23,Vancouver Canucks
16,Chicago Blackhawks
9,Ottawa Senators
8,Montreal Canadiens
30,Minnesota Wild
15,Washington Capitals
19,St Louis Blues
24,Anaheim Ducks
2,New York Islanders
10,Toronto Maple Leafs
13,Florida Panthers
7,Buffalo Sabres
20,Calgary Flames
21,Colorado Avalanche
25,Dallas Stars
29,Columbus Blue Jackets
52,Winnipeg Jets
22,Edmonton Oilers
54,Vegas Golden Knights
12,Carolina Hurricanes
53,Arizona Coyotes
